scientific_name,common_name,family,habitat,edibility,description,notes
Auricularia sp.,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Brand: Wei-Chuan; Manufacturer/Distributor: Wei-Chuan U.S.A., Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
"Lyophyllum ""decastes-CHINA01""",Velvet Antler Mushroom,Hypsizygus,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,I think?; GenBank#: PV501062; DNA sequencing status: Successful; Note: product contains multiple species
Auricularia sp.,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Dragonfly; Manufacturer/Distributor: U.S. Trading Company; Preservation method: Fresh,DNA sequencing FAILED: Failed
Bolete sp.,Porchini,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Bolete sp.,Porchini,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Marasmius oreades,Fairy Ring Mushroom,Marasmius,Country of origin: EU; Product type: Food,unknown,Manufacturer/Distributor: Cascada International Corp.; Preservation method: Dried,DNA sequencing status: Successful; Note: product contains multiple species
Bolete sp.,Porchini,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Morchella eximia,Morel,Morchella,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,GenBank#: PV501063; DNA sequencing status: Successful
Agaricales sp.,Oyster?,Agaricales,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Morchella importuna,Wild Morel,Morchella,Product type: Food,unknown,Preservation method: Dried,GenBank#: PV501037; DNA sequencing status: Successful
Bolete sp.,Porcini,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Ophiocordyceps sp.,,Ophiocordyceps,Product type: Medicinal/Tea,unknown,Preservation method: Dried,DNA sequencing FAILED: Failed
Termitomyces fuliginosus,Termite Mushroom,Termitomyces,Country of origin: Thailand; Product type: Food,unknown,Brand: Wanatip; Manufacturer/Distributor: Wanatip; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Astraeus hygrometrieus,Black Mushroom,Astraeus,Country of origin: Thailand; Product type: Food,unknown,"Brand: Singing Bird Brand; Manufacturer/Distributor: T.P. Food Canning Ltd., PART.; Preservation method: Canned/Pickled/Brined",DNA sequencing FAILED: Failed
Volvariella sp.,Straw Mushrooms,Volvariella,Country of origin: Vietnam; Product type: Food,unknown,Brand: Asian Best Brand; Manufacturer/Distributor: Eastland Food Corporation; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Pleurotus sp.,Whole Oyster Mushroom,Pleurotus,Country of origin: Thailand; Product type: Food,unknown,Brand: Asian Best Brand; Manufacturer/Distributor: Eastland Food Corporation; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Pleurotus sp.,Abalone Mushrooms,Pleurotus,Country of origin: Thailand; Product type: Food,unknown,"Brand: Tas Brand; Manufacturer/Distributor: Vara Food and Drink Co., Ltd.; Preservation method: Canned/Pickled/Brined",DNA sequencing FAILED: Failed
Pleurotus sp.,Oyster Mushrooms,Pleurotus,Country of origin: Thailand; Product type: Food,unknown,"Brand: Tas Brand; Manufacturer/Distributor: Vara Food and Drink Co., Ltd.; Preservation method: Canned/Pickled/Brined",DNA sequencing FAILED: Failed
Lyophyllum sp.,Brown Shimeji Mushroom,Lyophyllum,Country of origin: China; Product type: Food,unknown,"Brand: Hualvbio; Manufacturer/Distributor: Jiangsu Hualv Biological Technology Co., Ltd.; Preservation method: Fresh",DNA sequencing FAILED: Failed
Morchella sextelata,Morel,Morchella,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,GenBank#: PV501029; DNA sequencing status: Successful; Note: product contains multiple species
Tuber magnatum,White Truffle,Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Gourmet Line; Manufacturer/Distributor: Le Vie Del Tartufo S.R.L.; Preservation method: Dried,DNA sequencing FAILED: Failed
Tuber aestivum,"Summer Truffle, Tuber aestivum Vitt.",Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Gourmanity Tartufi; Manufacturer/Distributor: Gourmanity; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Helvella sp.,Not Applicable,Helvella,Product type: Food,unknown,Brand: Not Applicable; Manufacturer/Distributor: Mercado de San Juan Stand 261; Preservation method: Dried,DNA sequencing FAILED: Failed
Hypomyces and Hypsizygus,Not Applicable,Ramaria,Product type: Food,unknown,Brand: Not Applicable; Manufacturer/Distributor: Mercado de San Juan Stand 261; Preservation method: Dried,DNA sequencing FAILED: Failed
Morchella sextelata,Wild Morel,Morchella,Product type: Food,unknown,Preservation method: Dried,GenBank#: PV501002; DNA sequencing status: Successful
Tuber aestivum,Summer Truffle,Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Urbani Truffles; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Bolete sp.,Porcini,Bolete,Country of origin: Italy; Product type: Food,unknown,Brand: Urbani Truffles; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Agaricus sp.,Champignon,Agaricus,Country of origin: Italy; Product type: Food,unknown,Brand: Urbani Truffles; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Tuber magnatum,White Truffle,Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Urbani Truffles; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Bolete sp.,Porcini,Bolete,Country of origin: Italy; Product type: Food,unknown,Brand: Urbani Truffles; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Pachyma cocos,Pachyma cocos,Wolfiporia,Country of origin: China; Product type: Medicinal/Tea,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Pleurotus sp.,Abalone,Pleurotus,Country of origin: Taiwan; Product type: Food,unknown,Brand: Dragonfly; Manufacturer/Distributor: U.S. Trading Co.; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Naematelia aurantialba,Dried Tremella aurantiabla (Golden Jelly Fungus),Naematelia,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Tristar Food Wholesale Co Inc; Preservation method: Dried,GenBank#: PV501030; DNA sequencing status: Successful
Auricularia sp.,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Brand: Asian Taste; Manufacturer/Distributor: Walong Marketing, Inc; Preservation method: Dried",DNA sequencing FAILED: Failed
Pholiota aurivella,Chestnut Mushrooms,Pholiota,Product type: Food,unknown,Brand: Westchester Mushroom Co.; Manufacturer/Distributor: Westchester Mushroom Co.; Preservation method: Fresh,GenBank#: PV501045; DNA sequencing status: Successful
Auricularia sp.,Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Brand: Wise Wife; Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Auricularia sp.,Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Pholiota microspora,Pholiota microspora,Pholiota,Country of origin: China; Product type: Food,unknown,"Brand: Shan Nan Hai Bei; Manufacturer/Distributor: Chengdu Yueyuehon Industry Co. Ltd., Splendid World Corp; Preservation method: Dried",GenBank#: PV501042; DNA sequencing status: Successful
Tremella,Tremella,Tremella,Country of origin: China; Product type: Food,unknown,Brand: Szechuan Flavor; Manufacturer/Distributor: Chengdu Yueyuehon Industry Co. Ltd.; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Pleurotus 'pulmonarius-PNW02',NA,Pleurotus,Country of origin: USA; Product type: Food,unknown,Brand: Home Grown; Manufacturer/Distributor: NA; Preservation method: Fresh,GenBank#: PV501064; DNA sequencing status: Successful
Pleurotus citrinopileatus,Yellow Oyster Mushrooms,Pleurotus,Country of origin: USA; Product type: Food,unknown,Brand: Market District; Manufacturer/Distributor: Market District; Preservation method: Fresh,GenBank#: PV501065; DNA sequencing status: Successful
Pleurotus citrinopileatus,Yellow Hypsizygus marmoreus,Hypsizygus,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,I think?; GenBank#: PV501067; DNA sequencing status: Successful; Note: product contains multiple species
Pleurotus eryngii,Not Included,Pleurotus,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",GenBank#: PV501038; DNA sequencing status: Successful; Note: product contains multiple species
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Pleurotus eryngii,King Oyster Mushroom,Pleurotus,Country of origin: Korea; Product type: Food,unknown,"Manufacturer/Distributor: Sun Hong Foods, Inc; Preservation method: Fresh",GenBank#: PV501069; DNA sequencing status: Successful
Bolete sp.,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Tuber aestivum,Truffle,Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Giusto Sapore; Manufacturer/Distributor: Just Ryt Foods; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Pleurotus ostreatus,Oyster Mushrooms,Pleurotus,Country of origin: Multiple Given; Product type: Food,unknown,Brand: The Wild Mushroom Co.; Manufacturer/Distributor: Bordda SA; Preservation method: Dried,"Poland, Serbia, Romania, Montenegro, Macedonia, Bulgaria, Chile, Peru, Bosnia, Hungary; GenBank#: PV501046; DNA sequencing status: Successful; Note: product contains multiple species"
Cantharellus sp.,Chanterelle,Cantharellus,Country of origin: Bulgaria; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Goodness Gardens, Inc; Preservation method: Dried",DNA sequencing FAILED: Failed
Morchella sp.,Morel,Morchella,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed
Pleurotus ostreatus,Organic Dried Oyster Mushrooms,Pleurotus,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; GenBank#: PV501056; DNA sequencing status: Successful; Note: product contains multiple species"
Craterellus sp.,Trumpet,Craterellus,Country of origin: Bulgaria; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Goodness Gardens, Inc; Preservation method: Dried",DNA sequencing FAILED: Failed
Bolete sp.,Porcini,Bolete,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Pleurotus ostreatus,Oyster,Pleurotus,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",GenBank#: PV501058; DNA sequencing status: Successful; Note: product contains multiple species
Pleurotus ostreatus,"""and Others""",Pleurotus,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,GenBank#: PV501000; DNA sequencing status: Successful
Cantharellus sp.,Chanterelle,Cantharellus,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Pleurotus ostreatus,Oyster,Pleurotus,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",GenBank#: PV501007; DNA sequencing status: Successful; Note: product contains multiple species
Bolete sp.,Porcini,Bolete,Country of origin: Croatia; Product type: Food,unknown,Brand: Vegeta; Manufacturer/Distributor: Podravka USA Inc; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Cantharellus cibarius,Chanterelle,Cantharellus,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,DNA sequencing FAILED: Failed
Pleurotus sapidus,Organic Dried Oyster Mushrooms,Pleurotus,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; GenBank#: PV501036; DNA sequencing status: Successful; Note: product contains multiple species"
Pleurotus sp. (hybrid),Oyster Mushrooms,Pleurotus,Country of origin: USA; Product type: Food,unknown,Brand: Market District; Manufacturer/Distributor: Market District; Preservation method: Fresh,GenBank#: PV500997; DNA sequencing status: Successful
Cantharellus sp.,Chanterelle,Cantharellus,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porcini,Bolete,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus granulatus,Slippery Jack,Suillus,Country of origin: EU; Product type: Food,unknown,Brand: Lesne Skarby; Manufacturer/Distributor: Monolith Baltic SIA; Preservation method: Dried,GenBank#: PV501010; DNA sequencing status: Successful
Auricularia sp.,Others,Auricularia,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,DNA sequencing FAILED: Failed
Bolete sp.,Porcini,Bolete,Country of origin: Croatia; Product type: Food,unknown,Brand: Podravka; Manufacturer/Distributor: Podravka; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Cantharellus sp.,Chanterelles,Cantharellus,Country of origin: Russia; Product type: Food,unknown,Brand: Tsar Berendey; Manufacturer/Distributor: Natars NT Food Corp; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus luteus,Porcini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,GenBank#: PV501054; DNA sequencing status: Successful
Suillus sp.,Maslyata,Suillus,Country of origin: Russia; Product type: Food,unknown,Manufacturer/Distributor: Royal Sweet Bakery; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Lactarius sp.,Gruzdi,Lactarius,Country of origin: Russia; Product type: Food,unknown,Brand: Tsar Berendey; Manufacturer/Distributor: Natars NT Food Corp; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Bolete sp.,White Mushroom,Bolete,Country of origin: Russia; Product type: Food,unknown,Manufacturer/Distributor: Krasniy Octyabr INC; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Armillaria mellea,Mushroom,Bolete,Country of origin: Ukraine; Product type: Food,unknown,Manufacturer/Distributor: Zenith Foods LLC; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Armillaria sp.,Honey Mushroom,Armillaria,Country of origin: Russia; Product type: Food,unknown,Manufacturer/Distributor: Krasniy Octyabr INC; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Suillus luteus,Butter Mushroom,Suillus,Country of origin: Ukraine; Product type: Food,unknown,Manufacturer/Distributor: Eximfood Inc.; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Cantharellus sp.,Wild Chanterelle Mushrooms,Cantharellus,Country of origin: Multiple Given; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Inonotus sp.,Wild Harvested Alaskan Chaga,Inonotus,Country of origin: USA; Product type: Medicinal/Tea,unknown,Brand: Denali Chaga; Manufacturer/Distributor: Denali Chaga; Preservation method: Dried,DNA sequencing FAILED: Failed
Psathyrella sp.,Djon-Djon,Psathyrella,Country of origin: Haiti; Product type: Food,unknown,Brand: Eury's Brand; Manufacturer/Distributor: Eury's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Wolfiporia sp.,Dried Poria cum radix pini?,Wolfiporia,Product type: Medicinal/Tea,unknown,Brand: Pine Mark; Preservation method: Dried,DNA sequencing FAILED: Failed
Cantharellus sp.,Yellow Chanterelle Mushroom,Cantharellus,Country of origin: Europe; Product type: Food,unknown,Manufacturer/Distributor: Cascada International Corp.; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Morchella conica,Dried Morel Mushroom (Morchella conica),Morchella,Product type: Food,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,DNA sequencing FAILED: Failed
Psathyrella sp.,Djon-Djon Hatian Black Mushroom,Psathyrella,Product type: Food,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,DNA sequencing FAILED: Failed
Lactarius sp.,Dried Wild Candy Cap Mushrooms,Lactarius,Product type: Food,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,DNA sequencing FAILED: Failed
Tuber magnatum,White Truffle,Tuber,Country of origin: Italy; Product type: Food,unknown,Brand: Gourmet Line; Manufacturer/Distributor: Le Vie Del Tartufo S.R.L.; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus luteus,Porcini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,GenBank#: PV501015; DNA sequencing status: Successful
Fomitopsis officinalis,Agarikon Mushroom Powder,Laricifomes,Product type: Medicinal/Tea,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,DNA sequencing FAILED: Failed
Lentinula edodes,Cordyceps Powder (Cordyceps sinensis),Ophiocordyceps,Product type: Medicinal/Tea,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,DNA sequencing FAILED: Failed
Hypomyces aff. chrysospermus,Dried Mushroom (Morchella),Morchella,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Tristar Food Wholesale Co Inc; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus luteus,Porcini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,GenBank#: PV500999; DNA sequencing status: Successful
Craterellus sp.,Black Chanterelle Mushroom,Craterellus,Country of origin: Europe; Product type: Food,unknown,Manufacturer/Distributor: Cascada International Corp.; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Hypomyces,King Boletus,Bolete,Country of origin: Poland; Product type: Food,unknown,Brand: Seweryn; Preservation method: Dried,DNA sequencing FAILED: Failed
Hypsizygus marmoreus,Dried Bay Bolete,Imleria,Country of origin: Poland; Product type: Food,unknown,Brand: Lowell; Manufacturer/Distributor: Lowell Intl Foods; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus luteus,Porcini,Bolete,Country of origin: China; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",GenBank#: PV501009; DNA sequencing status: Successful
Tremella fuciformis,Dried Fungus,Tremella,Product type: Food,unknown,"Brand: Wise Wife; Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",GenBank#: PV501052; DNA sequencing status: Successful
Hypsizygus sp.,"Bunashimeji, Beech Mushroom",Hypsizygus,Country of origin: USA; Product type: Food,unknown,Brand: Hokto; Manufacturer/Distributor: Hokto Kinoko Company; Preservation method: Fresh,DNA sequencing FAILED: Failed
Tremella fuciformis,Dried Tremella,Tremella,Country of origin: China; Product type: Food,unknown,"Brand: Wei-Chuan; Manufacturer/Distributor: Wei-Chuan U.S.A., Inc.; Preservation method: Dried",GenBank#: PV501047; DNA sequencing status: Successful
Tremella fuciformis,Snow Fungus,Tremella,Product type: Food,unknown,"Brand: Nong Phu; Manufacturer/Distributor: L.A. Lucky Import & Export, Inc.; Preservation method: Dried",GenBank#: PV501011; DNA sequencing status: Successful; Note: product contains multiple species
Bolete sp.,Porchini,Bolete,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Cantharellus sp.,Chanterelle,Cantharellus,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Tricholoma murrillianum,Matsutake Mushrooms,Tricholoma,Product type: Medicinal/Tea,unknown,Brand: Marhaba; Manufacturer/Distributor: Kalustyan's; Preservation method: Dried,GenBank#: PV501060; DNA sequencing status: Successful
Volvariella sp.,Mixed Mushrooms,Volvariella,Product type: Food,unknown,Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Auricularia sp.,Mixed Mushrooms,Auricularia,Product type: Food,unknown,Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Volvariella volvacea,Straw Mushroom,Volvariella,Country of origin: Vietnam; Product type: Food,unknown,Brand: Best Taste Brand; Manufacturer/Distributor: Panoco; Preservation method: Dried,GenBank#: PV501018; DNA sequencing status: Successful
